======================================================================
  BACKTEST RESULTS REPORT
  Generated: 2026-02-21 08:25:19
======================================================================

[ CONFIGURATION ]
  Config Name       : momentum_config
  Start Date        : 2025-01-01
  End Date          : 2026-02-21
  Daily SL          : False
  Mid-Week Buy      : False
  Initial Capital   :      200,000.00
  Max Positions     : 15
  Risk Threshold    : 1.0
  Buffer Percent    : 0.25
  Exit Threshold    : 40.0
  SL Multiplier     : 2.0
  SL Step Percent   : 0.1
  ATR Fallback Pct   : 0.03

[ PERFORMANCE METRICS ]
  Final Portfolio   :      367,922.52
  Total Return      :     +167,922.52  (+83.96%)
  CAGR              :     +70.78%
  XIRR              :     +73.05%
  Max Drawdown      :      22.76%
  Sharpe Ratio      :       1.80
  Sortino Ratio     :       2.81
  Calmar Ratio      :       3.11

[ TRADE STATISTICS ]
  Total Trades      : 147
  Win Rate          :      46.26%
  Profit Factor     :       2.02
  Expectancy/Trade  :   +1092.55
  Avg Holding Days  :       35.5
  Winners           : 68
  Losers            : 79
  Avg Win           :       +4,668.34
  Avg Loss          :       -1,985.35
  Best Trade        : MIDWEST +120,929.90
  Worst Trade       : HINDZINC -8,970.00

[ TRANSACTION COSTS ]
  Total Buy Value   :    2,745,801.06
  Total Sell Value  :    2,906,405.34
  Total Turnover    :    5,652,206.40
  ---
  Buy Side Costs    :        3,275.39
  Sell Side Costs   :        4,942.07
  Total Costs       :        8,217.46
  ---
  Brokerage         :            0.00
  STT               :        5,652.23
  GST               :           36.04
  Stamp Duty        :          411.81
  Cost as % Return  :       4.89%

[ CAPITAL GAINS TAX ]
  STCG Trades       : 68
  STCG Gains        :      317,446.99
  STCG Tax (20%)    :       63,489.38
  ---
  LTCG Trades       : 0
  LTCG Gains        :            0.00
  LTCG Tax (12.5%)  :            0.00
  ---
  Total Tax         :       63,489.38
  Total Costs+Tax   :       71,706.84
  Net Post-Tax Ret  :      +96,215.68

[ TRADE LOG ]
  Symbol                      Entry         Exit    Entry ₹     Exit ₹  Units          PnL Reason
  -------------------- ------------ ------------ ---------- ---------- ------ ------------ --------------------
  EPACK                  2025-01-06   2025-01-13     647.00     541.15     35    -3,704.75 stoploss hit
  BAJAJHCARE             2025-01-06   2025-01-13     630.90     535.95     25    -2,373.75 stoploss hit
  SHAKTIPUMP             2025-01-06   2025-01-20   1,270.00   1,016.00     17    -4,318.00 stoploss hit
  GOLDIAM                2025-01-20   2025-01-27     528.20     441.05     28    -2,440.20 stoploss hit
  PGIL                   2025-01-06   2025-01-27   1,519.80   1,289.00     16    -3,692.80 stoploss hit
  INDOTHAI               2025-01-06   2025-01-27     143.00     182.90     64    +2,553.60 stoploss hit
  ARIHANTSUP             2025-01-06   2025-01-27     533.30     465.00     41    -2,800.30 stoploss hit
  SIGMAADV               2025-01-13   2025-01-27      94.14      78.70     51      -787.44 stoploss hit
  ITI                    2025-01-13   2025-01-27     439.70     332.50     23    -2,465.60 stoploss hit
  NEWGEN                 2025-01-06   2025-01-27   1,700.00   1,082.45     13    -8,028.15 stoploss hit
  COSMICCRF              2025-01-27   2025-02-03   1,900.00   1,613.50      7    -2,005.50 stoploss hit
  LLOYDSME               2025-01-06   2025-02-03   1,439.00   1,202.00     20    -4,740.00 stoploss hit
  EXHICON                2025-01-06   2025-02-03     379.00     327.30     44    -2,274.80 stoploss hit
  SHINDL                 2025-01-06   2025-02-03      74.15      68.58    229    -1,275.53 swap: score 69.6 → ZENSARTECH (92.9)
  BSE                    2025-01-27   2025-02-10   1,903.00   1,910.00     11       +77.00 swap: score 65.5 → BLUEJET (93.7)
  BLUEJET                2025-02-10   2025-02-17     821.75     759.35      1       -62.40 stoploss hit
  AEROFLEX               2025-01-27   2025-02-17     238.00     189.50     30    -1,455.00 stoploss hit
  KINETICENG             2025-02-03   2025-02-17     215.50     175.00     58    -2,349.00 stoploss hit
  ASHAPURMIN             2025-01-27   2025-02-17     519.05     434.80     27    -2,274.75 stoploss hit
  AMAL                   2025-01-27   2025-02-17     669.00     668.95     19        -0.95 stoploss hit
  ZOTA                   2025-01-13   2025-02-17     965.00     879.95     18    -1,530.90 stoploss hit
  APOLLO                 2025-01-27   2025-02-17     128.70     112.50     89    -1,441.80 stoploss hit
  VIMTALABS              2025-02-17   2025-02-24     560.00     458.05     20    -2,039.00 stoploss hit
  VTMLTD                 2025-02-17   2025-02-24      88.00      77.85      1       -10.15 stoploss hit
  KOTIC                  2025-01-06   2025-02-24      86.43     111.20      1       +24.77 stoploss hit
  DPABHUSHAN             2025-02-10   2025-02-24   1,810.00   1,532.50      3      -832.50 stoploss hit
  MBAPL                  2025-01-20   2025-02-24     282.97     309.45      9      +238.32 swap: score 71.1 → REDINGTON (94.0)
  KAMATHOTEL             2025-02-10   2025-03-03     302.90     267.50     48    -1,699.20 stoploss hit
  MPSLTD                 2025-02-03   2025-03-03   2,729.95   2,355.00      5    -1,874.75 stoploss hit
  INDOKEM                2025-02-17   2025-03-03     164.00     137.60     95    -2,508.00 stoploss hit
  TANFACIND              2025-02-03   2025-03-03   3,750.00   3,075.00      3    -2,025.00 stoploss hit
  GODFRYPHLP             2025-02-24   2025-03-17   1,927.00   1,893.00      2       -68.00 swap: score 58.1 → SARDAEN (96.3)
  SUNRAKSHAK             2025-02-17   2025-03-24     157.85     188.90     21      +652.05 stoploss hit
  SHINDL                 2025-03-03   2025-03-24      80.00      77.10    107      -310.30 swap: score 54.9 → INDIASHLTR (91.4)
  CPML                   2025-02-17   2025-03-31   1,200.00   1,235.00      9      +315.00 swap: score 67.8 → MAZDOCK (87.9)
  DECCANCE               2025-03-03   2025-03-31     785.10     806.85     11      +239.25 swap: score 68.2 → FORCEMOT (87.6)
  BENARAS                2025-01-27   2025-03-31   9,929.95  11,369.95      1    +1,440.00 swap: score 69.4 → AZADIND (87.6)
  CAMLINFINE             2025-02-24   2025-04-07     151.50     130.10      5      -107.00 stoploss hit
  TECHNVISN              2025-02-17   2025-04-07   4,200.00   5,258.35      2    +2,116.70 stoploss hit
  KDDL                   2025-03-03   2025-04-07   2,995.00   2,575.25      3    -1,259.25 stoploss hit
  SARDAEN                2025-03-17   2025-04-07     545.10     396.60      7    -1,039.50 stoploss hit
  MIIL                   2025-03-03   2025-04-07     400.50     409.85     30      +280.50 swap: score 63.8 → PARADEEP (88.2)
  MAZDOCK                2025-03-31   2025-04-14   2,724.00   2,443.75      2      -560.50 stoploss hit
  MAHASTEEL-BE           2025-02-17   2025-04-14     233.80     245.00     76      +851.20 stoploss hit
  TCPLPACK               2025-02-24   2025-04-14   3,997.25   4,080.00      3      +248.25 stoploss hit
