instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
128000516,500002,ABB,ABB INDIA,0,,0,0.05,1,EQ,BSE,BSE
128000772,500003,AEGISLOG,AEGIS LOGISTICS,0,,0,0.05,1,EQ,BSE,BSE
128002052,500008,ARE&M,AMARA RAJA ENERGY & MOBILITY L,0,,0,0.05,1,EQ,BSE,BSE
128002308,500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES L,0,,0,0.01,1,EQ,BSE,BSE
128003076,500012,ANDHRAPET,ANDHRA PETROCHEMICALS,0,,0,0.01,1,EQ,BSE,BSE
128003332,500013,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCT,0,,0,0.01,1,EQ,BSE,BSE
128003588,500014,UTIQUE,UTIQUE ENTERPRISES,0,,0,0.01,1,EQ,BSE,BSE
128004100,500016,ARUNAHTEL,ARUNA HOTELS,0,,0,0.01,1,EQ,BSE,BSE
128005124,500020,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,0,,0,0.05,1,EQ,BSE,BSE
128005892,500023,ASIANHOTNR,ASIAN HOTELS (NORTH),0,,0,0.05,1,EQ,BSE,BSE
128006916,500027,ATUL,ATUL,0,,0,0.05,1,EQ,BSE,BSE
128007172,500028,ATVPR,ATV PROJECTS INDIA,0,,0,0.01,1,EQ,BSE,BSE
128007940,500031,BAJAJELEC,BAJAJ ELECTRICALS,0,,0,0.05,1,EQ,BSE,BSE
128008196,500032,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR,0,,0,0.01,1,EQ,BSE,BSE
128008452,500033,FORCEMOT,FORCE MOTORS,0,,0,0.05,1,EQ,BSE,BSE
128008708,500034,BAJFINANCE,BAJAJ FINANCE,0,,0,0.05,1,EQ,BSE,BSE
128009732,500038,BALRAMCHIN,BALRAMPUR CHINI MILLS,0,,0,0.05,1,EQ,BSE,BSE
128009988,500039,BANCOINDIA,BANCO PRODUCTS (INDIA),0,,0,0.05,1,EQ,BSE,BSE
128010244,500040,ABREL,ADITYA BIRLA REAL ESTATE LIMIT,0,,0,0.05,1,EQ,BSE,BSE
128010500,500041,BANARISUG,BANNARI AMMAN SUGARS,0,,0,0.05,1,EQ,BSE,BSE
128010756,500042,BASF,BASF INDIA,0,,0,0.05,1,EQ,BSE,BSE
128011012,500043,BATAINDIA,BATA INDIA,0,,0,0.05,1,EQ,BSE,BSE
128012292,500048,BEML,BEML,0,,0,0.05,1,EQ,BSE,BSE
128012548,500049,BEL,BHARAT ELECTRONICS,0,,0,0.05,1,EQ,BSE,BSE
128013316,500052,BEPL,BHANSALI ENGINEERING POLYMERS,0,,0,0.01,1,EQ,BSE,BSE
128014852,500058,BIHSPONG,BIHAR SPONGE IRON,0,,0,0.01,1,EQ,BSE,BSE
128015108,500059,BILVYAPAR,BIL VYAPAR,0,,0,0.01,1,EQ,BSE,BSE
128015364,500060,BIRLACABLE,BIRLA CABLE ,0,,0,0.05,1,EQ,BSE,BSE
128017156,500067,BLUESTARCO,BLUE STAR,0,,0,0.05,1,EQ,BSE,BSE
128017412,500068,DISAQ,DISA INDIA,0,,0,0.05,1,EQ,BSE,BSE
128017668,500069,QUESTCAP,QUEST CAPITAL MARKETS,0,,0,0.05,1,EQ,BSE,BSE
128018948,500074,BPL,BPL,0,,0,0.01,1,EQ,BSE,BSE
128019972,500078,OAL,ORIENTAL AROMATICS,0,,0,0.05,1,EQ,BSE,BSE
128021252,500083,CENTEXT,CENTURY EXTRUSIONS,0,,0,0.01,1,EQ,BSE,BSE
128021508,500084,CESC,CESC,0,,0,0.05,1,EQ,BSE,BSE
128021764,500085,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICAL,0,,0,0.05,1,EQ,BSE,BSE
128022020,500086,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128022276,500087,CIPLA,CIPLA,0,,0,0.05,1,EQ,BSE,BSE
128022788,500089,DICIND,DIC INDIA,0,,0,0.05,1,EQ,BSE,BSE
128023556,500092,CRISIL,CRISIL,0,,0,0.05,1,EQ,BSE,BSE
128023812,500093,CGPOWER,CG POWER AND INDUSTRIAL SOLUTI,0,,0,0.05,1,EQ,BSE,BSE
128024580,500096,DABUR,DABUR INDIA,0,,0,0.05,1,EQ,BSE,BSE
128024836,500097,DALMIASUG,DALMIA BHARAT SUGAR AND INDUST,0,,0,0.05,1,EQ,BSE,BSE
128025860,500101,ARVIND,ARVIND,0,,0,0.05,1,EQ,BSE,BSE
128026372,500103,BHEL,BHARAT HEAVY ELECTRICALS,0,,0,0.05,1,EQ,BSE,BSE
128026628,500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATIO,0,,0,0.05,1,EQ,BSE,BSE
128027140,500106,IFCI,IFCI,0,,0,0.01,1,EQ,BSE,BSE
128027652,500108,MTNL,MAHANAGAR TELEPHONE NIGAM,0,,0,0.01,1,EQ,BSE,BSE
128027908,500109,MRPL,MANGALORE REFINERY & PETROCHEM,0,,0,0.05,1,EQ,BSE,BSE
128028164,500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION,0,,0,0.05,1,EQ,BSE,BSE
128028676,500112,SBIN,STATE BANK OF INDIA,0,,0,0.05,1,EQ,BSE,BSE
128028932,500113,SAIL,STEEL AUTHORITY OF INDIA,0,,0,0.05,1,EQ,BSE,BSE
128029188,500114,TITAN,TITAN COMPANY,0,,0,0.05,1,EQ,BSE,BSE
128029700,500116,IDBI,IDBI BANK,0,,0,0.05,1,EQ,BSE,BSE
128029956,500117,DCW,DCW,0,,0,0.01,1,EQ,BSE,BSE
128030468,500119,DHAMPURSUG,DHAMPUR SUGAR MILLS,0,,0,0.05,1,EQ,BSE,BSE
128030724,500120,DIAMINESQ,DIAMINES & CHEMICALS,0,,0,0.05,1,EQ,BSE,BSE
128031492,500123,ELANTAS,ELANTAS BECK INDIA,0,,0,0.05,1,EQ,BSE,BSE
128031748,500124,DRREDDY,DR.REDDYS LABORATORIES,0,,0,0.05,1,EQ,BSE,BSE
128032004,500125,EIDPARRY,E.I.D.-PARRY (INDIA),0,,0,0.05,1,EQ,BSE,BSE
128032260,500126,PGHL,PROCTER & GAMBLE HEALTH LIMITE,0,,0,0.05,1,EQ,BSE,BSE
128032772,500128,ELECTCAST,ELECTROSTEEL CASTINGS,0,,0,0.01,1,EQ,BSE,BSE
128034052,500133,ESABINDIA,ESAB INDIA,0,,0,0.05,1,EQ,BSE,BSE
128034564,500135,EPL,EPL,0,,0,0.05,1,EQ,BSE,BSE
128034820,500136,ESTER,ESTER INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128036356,500142,FGP,FGP,0,,0,0.01,1,EQ,BSE,BSE
128036612,500143,PHCAP,PH CAPITAL,0,,0,0.05,1,EQ,BSE,BSE
128036868,500144,FINCABLES,FINOLEX CABLES,0,,0,0.05,1,EQ,BSE,BSE
128037636,500147,COCKERILL,JOHN COCKERILL INDIA,0,,0,0.05,1,EQ,BSE,BSE
128037892,500148,UFLEX,UFLEX,0,,0,0.05,1,EQ,BSE,BSE
128038404,500150,FOSECOIND,FOSECO INDIA,0,,0,0.05,1,EQ,BSE,BSE
128038660,500151,GOLDENTOBC,GOLDEN TOBACCO,0,,0,0.01,1,EQ,BSE,BSE
128039172,500153,GANESHBE,GANESH BENZOPLAST,0,,0,0.01,1,EQ,BSE,BSE
128040708,500159,METROGLOBL,METROGLOBAL,0,,0,0.05,1,EQ,BSE,BSE
128040964,500160,GTL,GTL,0,,0,0.01,1,EQ,BSE,BSE
128041732,500163,GODFRYPHLP,GODFREY PHILLIPS INDIA,0,,0,0.05,1,EQ,BSE,BSE
128041988,500164,GODREJIND,GODREJ INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128042244,500165,KANSAINER,KANSAI NEROLAC PAINTS,0,,0,0.05,1,EQ,BSE,BSE
128042500,500166,GOODRICKE,GOODRICKE GROUP,0,,0,0.05,1,EQ,BSE,BSE
128043012,500168,GOODYEAR,GOODYEAR INDIA,0,,0,0.05,1,EQ,BSE,BSE
128043524,500170,GTNINDS,GTN INDUSTRIES,0,,0,0.01,1,EQ,BSE,BSE
128043780,500171,GHCL,GHCL,0,,0,0.05,1,EQ,BSE,BSE
128044292,500173,GFLLIMITED,GFL,0,,0,0.01,1,EQ,BSE,BSE
128044548,500174,GLFL,GUJARAT LEASE FINANCING,0,,0,0.01,1,EQ,BSE,BSE
128045572,500178,HARCR,HARIG CRANKSHAFTS,0,,0,0.01,1,EQ,BSE,BSE
128045828,500179,HCL-INSYS,HCL INFOSYSTEMS,0,,0,0.01,1,EQ,BSE,BSE
128046084,500180,HDFCBANK,HDFC BANK,0,,0,0.05,1,EQ,BSE,BSE
128046596,500182,HEROMOTOCO,HERO MOTOCORP,0,,0,0.05,1,EQ,BSE,BSE
128046852,500183,HFCL,HFCL,0,,0,0.01,1,EQ,BSE,BSE
128047108,500184,HSCL,HIMADRI SPECIALITY CHEMICAL LT,0,,0,0.05,1,EQ,BSE,BSE
128047364,500185,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,0,,0,0.01,1,EQ,BSE,BSE
128047620,500186,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.L,0,,0,0.05,1,EQ,BSE,BSE
128047876,500187,AGI,AGI GREENPAC,0,,0,0.05,1,EQ,BSE,BSE
