,isin,instrument_token,exchange_token,exchange,tradingsymbol,name
0,INE432A01017,128002308,500009,BSE,AMBALALSA,AMBALAL SARABHAI ENTERPRISES L
1,INE714B01016,128003076,500012,BSE,ANDHRAPET,ANDHRA PETROCHEMICALS
2,INE096A01010,128003588,500014,BSE,UTIQUE,UTIQUE ENTERPRISES
3,INE957C01019,128004100,500016,BSE,ARUNAHTEL,ARUNA HOTELS
4,INE447A01015,128007172,500028,BSE,ATVPR,ATV PROJECTS INDIA
5,INE819C01011,128014852,500058,BSE,BIHSPONG,BIHAR SPONGE IRON
6,INE131C01011,128017412,500068,BSE,DISAQ,DISA INDIA
7,INE418C01012,128017668,500069,BSE,QUESTCAP,QUEST CAPITAL MARKETS
8,INE280B01018,128031492,500123,BSE,ELANTAS,ELANTAS BECK INDIA
9,INE512A01016,128036356,500142,BSE,FGP,FGP
10,INE160F01013,128036612,500143,BSE,PHCAP,PH CAPITAL
11,INE515A01019,128037636,500147,BSE,COCKERILL,JOHN COCKERILL INDIA
12,INE085D01033,128040708,500159,BSE,METROGLOBL,METROGLOBAL
13,INE300A01016,128042500,500166,BSE,GOODRICKE,GOODRICKE GROUP
14,INE533A01012,128043012,500168,BSE,GOODYEAR,GOODYEAR INDIA
15,INE537A01013,128043524,500170,BSE,GTNINDS,GTN INDUSTRIES
16,INE962B01011,128049156,500192,BSE,PRAGBOS,PRAG BOSIMI SYNTHETICS
17,INE333C01013,128051716,500202,BSE,INDLEASE,INDIA LEASE DEVELOPMENT
18,INE680B01019,128052740,500206,BSE,MARGOFIN,MARGO FINANCE
19,INE262B01016,128054532,500213,BSE,ITHL,INTERNATIONAL TRAVEL HOUSE
20,INE711C01028,128056324,500220,BSE,JASCH,JASCH INDUSTRIES
21,INE104A01012,128061188,500239,BSE,KGDENIM,KG DENIM
22,INE266B01017,128061444,500240,BSE,KINETICENG,KINETIC ENGINEERING
23,INE884B01025,128062724,500245,BSE,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES L
24,INE601C01013,128062980,500246,BSE,ENVAIREL,ENVAIR ELECTRODYNE
