instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
130847236,511122,1STCUS,FIRST CUSTODIAN FUND (INDIA) L,0.0,,0.0,0.01,1,EQ,BSE,BSE
4331777,16921,20MICRONS,20 MICRONS,0.0,,0.0,0.01,1,EQ,NSE,NSE
1025,4,21STCENMGM,21ST CENTURY MGMT SERVICE,0.0,,0.0,0.01,1,EQ,NSE,NSE
3343617,13061,360ONE,360 ONE WAM,0.0,,0.0,0.1,1,EQ,NSE,NSE
136209156,532067,3BBLACKBIO,3B BLACKBIO DX ,0.0,,0.0,0.05,1,EQ,BSE,BSE
1595393,6232,3IINFOLTD,3I INFOTECH,0.0,,0.0,0.01,1,EQ,NSE,NSE
121345,474,3MINDIA,3M INDIA,0.0,,0.0,5.0,1,EQ,NSE,NSE
664321,2595,3PLAND,3P LAND HOLDINGS,0.0,,0.0,0.01,1,EQ,NSE,NSE
136295172,532403,4THGEN,FOURTH GENERATION INFORMATION,0.0,,0.0,0.01,1,EQ,BSE,BSE
113921,445,5PAISA,5PAISA CAPITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE
3038209,11868,63MOONS,63 MOONS TECHNOLOGIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
138397444,540615,7NR,7NR RETAIL ,0.0,,0.0,0.01,1,EQ,BSE,BSE
138463748,540874,7SEASL,7SEAS ENTERTAINMENT,0.0,,0.0,0.01,1,EQ,BSE,BSE
136295428,532404,7TEC,SAVEN TECHNOLOGIES,0.0,,0.0,0.01,1,EQ,BSE,BSE
138755076,542012,A1L,A-1,0.0,,0.0,0.05,1,EQ,BSE,BSE
5351937,20906,A2ZINFRA,A2Z INFRA ENGINEERING,0.0,,0.0,0.01,1,EQ,NSE,NSE
139179780,543671,AAATECH,AAA TECHNOLOGIES,0.0,,0.0,0.01,1,EQ,BSE,BSE
6074625,23729,AADHARHFC,AADHAR HOUSING FINANCE L,0.0,,0.0,0.05,1,EQ,NSE,NSE
135686916,530027,AADIIND,AADI INDUSTRIES,0.0,,0.0,0.01,1,EQ,BSE,BSE
135838980,530621,AAIL,AKAR AUTO INDUSTRIES ,0.0,,0.0,0.05,1,EQ,BSE,BSE
60161,235,AAKASH,AAKASH EXPLORATION SER L,0.0,,0.0,0.01,1,EQ,NSE,NSE
138008580,539096,AANANDALAK,AANANDA LAKSHMI SPINNING MILLS,0.0,,0.0,0.01,1,EQ,BSE,BSE
134249476,524412,AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS,0.0,,0.0,0.01,1,EQ,BSE,BSE
138127876,539562,AARNAV,AARNAV FASHIONS,0.0,,0.0,0.01,1,EQ,BSE,BSE
263681,1030,AARON,AARON INDUSTRIES,0.0,,0.0,0.01,1,EQ,NSE,NSE
138848516,542377,AARSHYAM,AAR SHYAM INDIA INVESTMENT COM,0.0,,0.0,0.01,1,EQ,BSE,BSE
4389121,17145,AARTECH,AARTECH SOLONICS,0.0,,0.0,0.01,1,EQ,NSE,NSE
1147137,4481,AARTIDRUGS,AARTI DRUGS,0.0,,0.0,0.05,1,EQ,NSE,NSE
1793,7,AARTIIND,AARTI INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
3550209,13868,AARTIPHARM,AARTI PHARMALABS,0.0,,0.0,0.05,1,EQ,NSE,NSE
4923649,19233,AARTISURF,AARTI SURFACTANTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
4882689,19073,AARVI,AARVI ENCON,0.0,,0.0,0.01,1,EQ,NSE,NSE
131011588,511764,AASTAFIN,AASTAMANGALAM FINANCE ,0.0,,0.0,0.01,1,EQ,BSE,BSE
1378561,5385,AAVAS,AAVAS FINANCIERS,0.0,,0.0,0.1,1,EQ,NSE,NSE
138119172,539528,AAYUSH,AAYUSH WELLNESS,0.0,,0.0,0.01,1,EQ,BSE,BSE
133940228,523204,ABAN,ABAN OFFSHORE,0.0,,0.0,0.01,1,EQ,BSE,BSE
131114244,512165,ABANSENT,ABANS ENTERPRISES,0.0,,0.0,0.01,1,EQ,BSE,BSE
136104452,531658,ABATEAS,ABATE AS INDUSTRIES,0.0,,0.0,0.01,1,EQ,BSE,BSE
3329,13,ABB,ABB INDIA,0.0,,0.0,0.5,1,EQ,NSE,NSE
4583169,17903,ABBOTINDIA,ABBOTT INDIA,0.0,,0.0,5.0,1,EQ,NSE,NSE
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE
133151492,520123,ABCINDQ,ABC INDIA,0.0,,0.0,0.01,1,EQ,BSE,BSE
194337281,759130,ABCOTS,A B COTSPIN INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
6222849,24308,ABDL,ALLIED BLEND N DISTILS L,0.0,,0.0,0.05,1,EQ,NSE,NSE
7707649,30108,ABFRL,ADITYA BIRLA FASHION & RT,0.0,,0.0,0.01,1,EQ,NSE,NSE
136206596,532057,ABHICAP,ABHINAV CAPITAL SERVICES,0.0,,0.0,0.05,1,EQ,BSE,BSE
137967364,538935,ABHIFIN,ABHISHEK FINLEASE ,0.0,,0.0,0.01,1,EQ,BSE,BSE
138123268,539544,ABHIINFRA,ABHISHEK INFRAVENTURES ,0.0,,0.0,0.01,1,EQ,BSE,BSE
138127364,539560,ABHIJIT,ABHIJIT TRADING CO.,0.0,,0.0,0.01,1,EQ,BSE,BSE
6917121,27020,ABINFRA,A B INFRABUILD,0.0,,0.0,0.01,1,EQ,NSE,NSE
131009540,511756,ABIRAFN,ABIRAMI FINANCIAL SERVICES (IN,0.0,,0.0,0.01,1,EQ,BSE,BSE
193751809,756843,ABLBL,ADITYA BIRLA LIFES BRAN L,0.0,,0.0,0.01,1,EQ,NSE,NSE
1420545,5549,ABMINTLLTD,ABM INTERNATIONAL,0.0,,0.0,0.01,1,EQ,NSE,NSE
135977220,531161,ABMKNO,ABM KNOWLEDGEWARE,0.0,,0.0,0.05,1,EQ,BSE,BSE
160001,625,ABREL,ADITYA BIRLA REAL EST,0.0,,0.0,0.1,1,EQ,NSE,NSE
1540609,6018,ABSLAMC,ADIT BIRL SUN LIF AMC,0.0,,0.0,0.05,1,EQ,NSE,NSE
6094337,23806,ABSLPSE,BIRLASLAMC-ABSLPSE,0.0,,0.0,0.01,1,EQ,NSE,NSE
135905540,530881,ABVL,ARUNJYOTI BIO VENTURES ,0.0,,0.0,0.01,1,EQ,BSE,BSE
5633,22,ACC,ACC,0.0,,0.0,0.1,1,EQ,NSE,NSE
136072452,531533,ACCEDERE,ACCEDERE,0.0,,0.0,0.01,1,EQ,BSE,BSE
132478468,517494,ACCEL,ACCEL,0.0,,0.0,0.01,1,EQ,BSE,BSE
1805569,7053,ACCELYA,ACCELYA SOLN INDIA,0.0,,0.0,0.1,1,EQ,NSE,NSE
375041,1465,ACCURACY,ACCURACY SHIPPING,0.0,,0.0,0.01,1,EQ,NSE,NSE
3478273,13587,ACE,ACTION CONST EQUIP,0.0,,0.0,0.05,1,EQ,NSE,NSE
135703812,530093,ACEEDU,ACE EDUTREND,0.0,,0.0,0.01,1,EQ,BSE,BSE
135851268,530669,ACEENGITEC,ACE ENGITECH,0.0,,0.0,0.05,1,EQ,BSE,BSE
3015425,11779,ACEINTEG,ACE INTEGRATED SOLU.,0.0,,0.0,0.01,1,EQ,NSE,NSE
138153220,539661,ACEMEN,ACE MEN ENGG WORKS,0.0,,0.0,0.01,1,EQ,BSE,BSE
136070404,531525,ACESOFT,ACE SOFTWARE EXPORTS,0.0,,0.0,0.05,1,EQ,BSE,BSE
138530052,541133,ACFL,APEX CAPITAL AND FINANCE LIMIT,0.0,,0.0,0.01,1,EQ,BSE,BSE
